Dates,Dates,G007026E45991N,G007050E45972N,G007281E45526N,G007297E45961N,G007394E45986N,G007419E45967N,G007510E46381N,G007549E46005N,G007581E46002N,G007603E46067N,G007625E45991N,G007639E46058N,G007682E46077N,G007702E46120N,G007730E45943N,G007761E45922N,G007800E45965N,G007807E46481N,G007833E46493N,G007846E45906N,G007860E46128N,G007880E45990N,G007892E46055N,G007896E46027N,G007908E45948N,G007922E46000N,G007930E46472N,G007964E46423N,G008016E46459N,G008051E46567N,G008098E46566N,G008131E46609N,G008144E46504N,G008147E46640N,G008156E46616N,G008187E46569N,G008379E46648N,G008431E46695N,G008861E46827N,G009837E46351N,G009860E46370N,G009889E46366N,G009942E46399N,G009969E46369N,G010535E46167N,G010577E46153N,G010609E46395N,G011184E46953N,G021992E70174N,G022083E70150N,G041229E43392N,G041338E43356N,G041406E43354N,G041420E43362N,G041426E43326N,G041439E43313N,G041493E43296N,G041519E43299N,G041523E43281N,G041561E43266N,G041572E43240N,G041626E43230N,G041652E43255N,G041673E43238N,G041692E43207N,G041693E43224N,G041772E43227N,G041843E43225N,G041904E43293N,G041997E43219N,G042051E43198N,G042078E43218N,G042093E43100N,G042100E43207N,G042112E43216N,G042177E43228N,G042208E43222N,G042234E43233N,G042280E43217N,G042321E43226N,G043762E42752N,G043763E42801N,G043771E42740N,G043772E42828N,G043844E42752N,G043845E42727N,G043884E42750N,G044389E42749N,G044447E42733N,G044467E42706N,G044477E42719N,G044483E42698N,G044503E42719N,G044517E42715N,G044537E42706N,G045335E42577N,G045645E42509N,G047796E38263N,G050944E36380N,G050969E36388N,G072154E36611N,G072276E36720N,G073881E36791N,G075110E36318N,G075212E36027N,G075248E38558N,G076135E33464N,G076139E33764N,G076233E33705N,G076553E35339N,G076582E35961N,G077195E35779N,G077441E36518N,G077780E36712N,G077972E34575N,G079397E36144N,G079448E36046N,G079544E31011N,G079568E34309N,G080251E42005N,G080422E35819N,G080574E35527N,G080581E42004N,G080842E42199N,G080860E34368N,G080949E42400N,G081057E35255N,G081184E35317N,G081637E42410N,G082076E35436N,G083476E28736N,G084142E28500N,G084689E28511N,G084759E28427N,G084939E43518N,G085638E34457N,G085758E28296N,G085885E34389N,G086280E28276N,G086633E28122N,G086719E28132N,G087182E36381N,G087347E36344N,G087851E49154N,G089107E33816N,G089122E33894N,G090157E28136N,G090936E36102N,G091091E33424N,G091092E33366N,G211128E60439N,G212558E63648N,G213319E63433N,G222166E59371N,G222767E59342N,G222945E59218N,G223019E59160N,G223058E59316N,G223217E59479N,G223301E58723N,G223304E59444N,G223515E59091N,G223711E59237N,G223858E59202N,G225242E59366N,G225315E59267N,G225357E59279N,G225688E59122N,G226067E58945N,G226234E58919N,G226274E58882N,G226677E58330N,G226792E58448N,G226839E58334N,G226922E58043N,G227371E58087N,G227390E57963N,G227438E57917N,G227454E58004N,G227482E57968N,G227526E57562N,G227627E57972N,G227643E57506N,G227691E57501N,G227784E57753N,G235042E57853N,G239484E53002N,G239808E52894N,G240244E52815N,G240543E53417N,G241920E52410N,G242130E52179N,G242143E52208N,G242234E52184N,G242636E52211N,G242657E52180N,G242731E52135N,G242954E51919N,G243063E50807N,G243112E51724N,G282656E09382S,G286639E49733S,G286738E50402S,G286764E50376S,G286773E49566S,G286852E49174S,G286866E49224S,G286875E49227S,G286878E49177S,G286883E50681S,G286900E49352S,G286902E49166S,G286920E49359S,G286924E49328S,G286929E49140S,G286934E49316S,G286954E49103S,G286984E49869S,G287357E15537S,G287591E48477S,G287611E48517S,G287660E48530S,G287664E48504S,G287940E42132S,G288117E41158S,G289903E32043S,G289924E32060S,G289971E32602S,G289972E33043S,G289986E32570S,G289994E32681S,G289995E32986S,G290007E31452S,G290035E33013S,G290117E33830S,G290133E33763S,G290159E33735S,G290163E33530S,G290191E33451S,G290195E33749S,G290197E33544S,G290207E30395S,G290237E33382S,G290237E33400S,G291155E27738S 
210,1996-07-01,6.8122210144042965,9.705255845424107,5.449868701171876,16.1674951171875,5.708982714843749,8.269144335937499,8.35541982421875,9.3736142578125,9.6387896484375,4.847234033203125,17.291216015625,16.7503576171875,6.179493017578125,5.782357177734375,9.84031875,9.092598046874999,47.312253515625,13.816276757812501,6.0589857421875,11.86965,7.821911718749999,13.52509119140625,9.415837792968748,9.65597578125,9.424750906808034,4.6749265764508925,10.36126494140625,17.431025390625,6.714934365234375,11.70995888671875,8.493683935546875,8.618356787109375,39.135230859375,5.283000439453125,9.127228459821428,28.757293694196427,14.800582366071428,6.333859790039063,14.00104951171875,5.8883591796875,7.8647244140625,4.9815341796875,18.0492185546875,5.8944449218749995,16.5142487109375,6.9575914160156245,12.918441621093748,7.5796989257812495,9.602949902343749,12.996189843749999,2.932053936767578,2.335900259399414,2.1060795684814453,2.762039767456055,2.0374791503906247,3.688362268066406,7.044215185546875,2.7960721435546874,6.216938525390625,4.64637222290039,4.749892712402343,5.0907173950195315,2.0652009521484374,2.378289393833705,1.7114554412841798,1.7398842407226562,2.42958427734375,2.336953271484375,1.7214989501953126,1.7824242919921875,2.1504137695312497,3.0972245361328126,2.4728531616210936,2.1095228759765625,2.932617919921875,2.776154809570312,1.7271627319335936,1.9278530639648437,2.171657373046875,2.0727912963867188,2.9173459350585937,1.6552070343017578,1.8380348052978515,1.7298343872070312,13.656831591796875,4.050315966796875,2.0519461669921877,2.3473500366210938,4.392802075195313,1.3406760314941406,6.398021850585938,2.3451019409179685,2.4439698852539062,7.932219873046875,2.2771125366210936,2.5507918212890623,2.0278267822265628,1.1499141494750975,4.590293188476562,2.46890654296875,67.1585607421875,59.1044484375,46.964126953125,78.767409375,58.966843359375,47.043858984375,54.0696515625,54.048348632812505,48.1896193359375,35.2460830078125,20.79712265625,38.3544,33.35765625,34.684468359374996,29.270682421874998,44.600468203125,39.340147265625,,11.0699578125,38.89451015625,46.4692640625,40.804277343749995,53.697153515625,50.12809013671875,36.91040625,52.29064386160714,33.729045703125,44.96267724609375,39.0096298828125,44.424336328125,39.877590234375,47.53648125,44.488613671875,63.668446875,39.706006640625,35.9395875,23.78764453125,35.922747656249996,25.326055078125,35.833102734375,49.638693164062495,50.8263943359375,39.141685546874996,39.250694531250005,36.9616974609375,,46.7691626953125,38.852047265624996,29.922655078125,34.084782421875,,,,40.6258037109375,20.989531933593753,18.9477404296875,54.11782265625,22.528516992187498,25.587090234375,37.918301953124995,24.8437224609375,52.3553484375,37.653740625000005,17.84249033203125,29.708511328124995,19.20424078125,47.044355273437496,19.62055693359375,47.7138169921875,19.71842080078125,23.86899111328125,21.233684570312498,39.254658984375,35.776405078125,37.295811328125005,22.977490680803573,26.988357128906248,51.847640625,41.18149737723214,18.90463936941964,,19.67735390625,,,,32.340765234375,21.1680251953125,28.0566017578125,18.2563259765625,30.808437890625,22.227884179687496,50.527245234375,22.532186250000002,36.736131796875,21.29953447265625,30.2668716796875,33.430464140625,19.8809560546875,18.645849609375,38.075230078124996,5.85016611328125,,,,,,,,,,,,,,,,,,30.50270859375,,,,,,,5.956556572265624,8.68764568359375,10.1095006640625,9.88354072265625,18.330415855823862,10.31512372159091,14.922117453835227,14.53143287109375,17.439957421874997,10.797805371093748,23.283706891741073,13.278464648437499,7.12707626953125,15.344777343750001,8.703720703125,9.724884228515625,9.637010784040177,7.706162255859375,11.76421142578125,11.816892333984375
211,1996-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,1996-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,1996-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1996-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,1996-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,1997-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,1997-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,1997-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,1997-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,1997-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,1997-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,1997-07-01,6.809253497314453,9.671154408482142,5.431131884765624,16.1020083984375,5.698885693359375,8.214079394531248,8.3347447265625,9.35476669921875,9.6155296875,4.829611083984375,17.237008007812502,16.704015234375,6.171821337890624,5.7718705078125,9.774328417968748,9.10746328125,47.027478515625,13.786599316406248,6.0442107421874995,11.792785630580356,7.8107841796874995,13.522790290178571,9.366169545200892,9.627541824776785,9.451916392299108,4.6796306710379465,10.35110478515625,17.3635388671875,6.7002517717633925,11.678874609375,8.461860267857142,8.614274633789062,38.973019921875,5.263601770019531,9.127937768554688,28.42059375,14.770748254394531,6.332773809814453,14.031985630580357,5.911569228515625,7.823301328125,5.000054238281249,17.9732014453125,5.88251162109375,16.4191376953125,6.971822314453124,12.895442578125,7.576231640625,9.582539501953125,12.992953271484375,2.9102878564453123,2.320584191894531,2.0694247998046875,2.7479337890625,2.0283978515624996,3.6581857470703127,7.000890644531249,2.787156650390625,6.176747197265625,4.634081279296875,4.7282860546875,5.0741110546875,2.0636577685546875,2.363718273925781,1.7099274627685546,1.7386536346435546,2.4254255126953126,2.333729113769531,1.7222073486328124,1.7807618408203125,2.1378747436523438,3.0920939758300783,2.4717744689941403,2.109393127441406,2.926481506347656,2.77457431640625,1.7232428924560546,1.9262921264648436,2.1700628173828127,2.069768682861328,3.001925170898437,1.6551970458984375,1.8305721313476562,1.7253062255859375,13.618155175781249,4.051707910156249,2.054760886230469,2.3369384179687502,4.428284150390625,1.3336030151367186,6.424086181640625,2.3512080761718748,2.4414247705078127,7.976259997558593,2.2551193432617187,2.5562827880859373,2.017048158482143,1.1680683288574218,4.596596557617187,2.485723388671875,67.1068828125,58.9899146484375,46.936218164062495,78.84910546875,58.933930078125,46.909852734375,53.811228515625,53.998069921875,48.061944140625,35.132541796874996,20.838800390625,38.25438515625,33.370447265624996,34.56551162109375,,44.549533124999996,39.19534013671875,,11.068602246093748,38.8215509765625,46.38618080357143,40.6716908203125,53.3427169921875,50.031996328125,36.9013921875,52.168012734375,33.71912578125,45.008891015625,38.962714453124995,44.069164453125005,,,,64.29340078125,39.66063984375,,23.575137890625,,24.9683523046875,,49.4044875,,,,36.97209140625,42.04525078125,,38.87871328125,,,,,,40.734887695312494,20.980691015625,,,22.5410466796875,25.5372556640625,,24.934847167968748,,37.616487890625,17.8230462890625,29.5863796875,19.116854296875,46.6237828125,19.54277841796875,47.612503124999996,19.6970935546875,23.832297656250002,21.10501546875,39.353127890625004,35.5470275390625,37.32013212890625,22.9620779296875,26.851677978515625,52.020059765625,40.78823625,18.81732568359375,,19.621325390624996,,,,32.2396470703125,21.192142236328124,28.046882373046873,18.247677539062497,30.7848111328125,22.2283529296875,50.5156412109375,22.49092353515625,36.74829375,21.273500390625,30.168332226562498,33.414526757812496,19.882073144531248,18.6288106640625,38.045524218749996,5.839282177734375,,,,,,,,,,,,,,,,,,30.71728828125,,,,,,,5.939265344238281,8.66972021484375,10.0465013671875,9.742590527343749,18.295443457031247,10.718975390625,14.815506445312499,14.52319716796875,17.199193359375,10.801744628906249,23.1705193359375,13.239496142578124,,,8.6824212890625,,9.651917724609374,,,11.79988681640625
223,1997-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,1997-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,1997-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,1997-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,1997-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,1998-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,1998-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,1998-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,1998-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,1998-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,1998-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,1998-07-01,6.796540785435267,9.643328236607143,5.411060449218749,16.021114453124998,5.689409765625,8.16240673828125,8.31874248046875,9.336758203125,9.597116894531249,4.81430712890625,17.19265546875,16.617676171875,6.1606359374999995,5.7667073730468745,9.710594238281251,9.118589282226562,46.47963251953125,13.77391875,6.03776162109375,11.68535401611328,7.785518994140625,13.491122387695313,9.287671618652343,9.585650061035157,9.47334385986328,4.686623931884766,10.33654359375,17.32673671875,6.680152880859374,11.598235180664062,8.466970275878907,8.636045581054688,38.750519970703124,5.194956994628906,9.131940856933593,28.022271020507812,14.7076083984375,6.339339184570313,14.069876032366071,5.918226690673828,7.789554272460937,5.0082553894042965,17.828376416015626,5.854251763916015,16.327352343749997,6.961103173828125,12.865533398437499,7.57262373046875,9.56111220703125,12.98519384765625,2.886045864257812,2.3027726953125,2.0349616632634944,2.7318813054865054,2.0133183971058237,3.628815420809659,6.958678431285511,2.773453670987216,6.144573899147727,4.613285262784091,4.703324733664773,5.0697938671875,2.061771328125,2.3496927539062495,1.7078027783203127,1.7351544726562502,2.4190215820312497,2.32736818359375,1.7203730053710937,1.780028195800781,2.12267126953125,3.0839372314453124,2.4720673095703125,2.1108254150390624,2.9179533251953123,2.771109755859375,1.7218429321289062,1.9247305517578124,2.1657690966796874,2.0668970654296874,3.11409509765625,1.6555341796874998,1.8121365600585937,1.7215720092773437,13.575105761718751,4.049118457031249,2.060706555175781,2.3277242797851563,4.473629077148438,1.3213318359375,6.434978247070312,2.3530705810546872,2.4355436462402342,8.025930615234376,2.235077160644531,2.560635772705078,2.007476202392578,1.1926902099609376,4.593958984375,2.5198103759765624,67.16583180803572,58.68917477678571,46.922833125,78.91079765625,58.74653847656249,46.745971874999995,53.56004765625,53.892798046875,47.95290703125,35.111429296875,20.864307128906248,38.123258203125,33.3530068359375,34.43115937499999,29.144801953125,44.5516892578125,39.018062109374995,47.164081640625,11.06644892578125,38.7009896484375,46.30350703125,40.5472341796875,53.100284765625,49.9522236328125,36.897451171875,52.006465722656245,33.709236328125,45.0267046875,38.9290095703125,43.896166406249996,,,,,39.6049265625,35.945057812499996,,35.94866484375,24.6742048828125,,49.2981328125,50.788473046875,39.129542578125,39.19095,,,46.67312636718749,,,,,,,40.8658939453125,20.97020830078125,,,22.5244705078125,25.52258935546875,,24.92997099609375,,37.5676013671875,17.776688203124998,29.491326562499996,19.06187109375,46.129532812499995,19.4855091796875,47.519005078125,19.6750388671875,23.796847265625,21.12011103515625,39.50595703125,35.4889037109375,,22.980803027343747,,,40.4243841796875,18.80353037109375,25.077050683593747,19.56601669921875,28.950469628906248,4.2716056640625,,32.142320859375005,21.187918652343747,28.0566509765625,18.201478271484376,30.754859765625,22.211127421875,50.549274944196426,22.442795256696428,36.75593470982143,21.240528097098213,30.019446763392857,33.40631953125,19.870681289062496,18.60251865234375,38.0455681640625,5.828078540039062,,,,,,,,7.7376744140625,,,,,,,,,,31.0473703125,28.245847851562498,,7.032949365234375,12.036344238281249,10.863928125,8.399028955078125,5.9251420898437495,8.66178896484375,10.037084545898438,9.680841870117188,18.298179052734376,10.888820947265625,14.7809478515625,14.451090600585937,17.120722412109373,10.802923242187498,23.13046171875,,7.06805244140625,15.302953125,,9.691305908203125,9.662144897460937,7.6513517578125,11.639112011718751,11.784531005859375
235,1998-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,1998-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,1998-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,1998-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,1998-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
